pob,año,id_ent,id_mun,mun
44696.079948,2010,20,334,Villa de Tututepec de Melchor Ocampo
10915.3590242,2016,12,72,Zapotitlán Tablas
56897.004653,2013,13,3,Actopan
11433.5257151,2020,7,43,Ixtacomitán
19901.5732328,2015,30,104,Mecayapan
5932.7339674,2023,29,54,San Lorenzo Axocomanitla
17976.2986398,2015,17,16,Ocuituco
6139.0780347,2010,31,34,Hocabá
6744.9011268,2021,21,126,San Jerónimo Tecuanipan
174635.851192,2028,30,124,Papantla
10882.1474731,2011,15,125,Tonanitla
3934.3704783,2023,20,366,Santa Catarina Loxicha
3154.5195189,2010,31,68,Sinanché
20245.1336551,2018,14,48,Jesús María
760417.3648,2025,15,104,Tlalnepantla de Baz
46397.891979,2029,7,102,Tuxtla Chico
16690.9686793,2011,20,350,San Sebastián Tutla
6524.6604953,2025,21,173,Teteles de Avila Castillo
49153.942041,2023,1,6,Pabellón de Arteaga
155113.332239,2019,22,11,El Marqués
61513.226377,2023,30,45,Cosamaloapan de Carpio
28837.067757,2021,17,19,Tepalcingo
5048.3710836,2029,24,9,Cerro de San Pedro
26032.168177,2026,28,43,Xicoténcatl
9179.863746,2022,30,1,Acajete
10383.1318641,2020,15,61,Nopaltepec
3401.2036136,2027,31,54,Muxupip
50405.03734,2028,24,11,Ciudad Fernández
2709.8052654,2021,21,59,Chinantla
37210.966379,2013,29,15,Ixtacuixtla de Mariano Matamoros
19444.335017,2022,16,77,San Lucas
15440.6593274,2013,31,85,Temozón
25858.900297,2027,13,18,Chapulhuacán
5860.8074773,2012,21,173,Teteles de Avila Castillo
15268.0745547,2027,20,468,Santiago Jocotepec
2525.5804184,2027,26,40,Nácori Chico
23874.234279,2027,32,14,General Francisco R. Murguía
36774.8998702,2013,7,87,Suchiate
21405.9397377,2013,30,135,Rafael Delgado
2528.70621626,2025,20,240,San Martín Itunyoso
15493.5555999,2017,26,72,San Ignacio Río Muerto
82482.315098,2018,5,10,Frontera
2901.97999187,2015,30,140,San Andrés Tenejapan
9909.816923,2019,29,20,Sanctórum de Lázaro Cárdenas
14872.0817015,2016,24,39,Tampamolón Corona
26837.307275,2023,8,2,Aldama
3066.2855548,2021,8,49,Nonoava
48354.93863,2029,24,16,Ebano
6774.1586138,2023,20,446,Santa María Yucuhiti
3103.6094847,2023,8,22,Dr. Belisario Domínguez
50775.100133,2025,16,55,Múgica
45167.189161,2016,12,56,Tecoanapa
409.65313276,2013,26,44,Onavas
4581.493956,2029,20,534,San Vicente Coatlán
12549.2068773,2028,30,79,Ixhuacán de los Reyes
13438.7322825,2013,16,44,Jiménez
54499.190024,2011,21,207,Zacapoaxtla
41211.070291,2012,32,5,Calera
8636.3234597,2026,7,33,Francisco León
1173608.0374,2014,19,39,Monterrey
7509.6983428,2015,7,33,Francisco León
8580.7266261,2026,20,261,San Miguel Amatitlán
8293.3196431,2013,24,44,Vanegas
30525.244099,2029,21,76,Hueytamalco
77924.777231,2015,20,39,Heroica Ciudad de Huajuapan de León
27847.266821,2018,17,15,Miacatlán
7139.1901424,2012,31,11,Celestún
23106.3195473,2014,13,18,Chapulhuacán
20622.051899,2019,21,99,Cañada Morelos
20204.1959828,2023,13,49,Pisaflores
26109.088445,2014,12,68,La Unión de Isidoro Montes de Oca
3071.9867099,2029,31,10,Cantamayec
13531.6255131,2024,16,44,Jiménez
50549.245382,2016,15,3,Aculco
20135.979942,2027,32,26,Mazapil
42436.315133,2024,29,15,Ixtacuixtla de Mariano Matamoros
8424.5307335,2011,14,14,Atoyac
8514.6477003,2011,4,7,Palizada
21510.452889,2030,16,16,Coeneo
23647.5540923,2020,32,16,General Pánfilo Natera
51289.865751,2013,1,7,Rincón de Romos
22236.445143,2030,12,30,Florencio Villarreal
7154.1457666,2015,17,23,Tlalnepantla
43368.52834,2021,14,16,Ayotlán
1806.6890397,2014,21,196,Xayacatlán de Bravo
6594.5915805,2024,31,4,Baca
5321.1076545,2010,31,47,Maní
4359.2874787,2022,20,532,Santo Tomás Ocotepec
38579.149645,2017,27,9,Jalapa
168660.219518,2030,11,23,Pénjamo
208359.471227,2030,15,5,Almoloya de Juárez
9193.5538746,2014,13,4,Agua Blanca de Iturbide
11795.3250565,2021,29,17,Mazatecochco de José María Morelos
18321.5016652,2015,17,1,Amacuzac
33653.475798,2019,6,1,Armería
10590.1461553,2025,8,46,Morelos
19886.664653,2028,14,74,San Julián
60216.195834,2029,14,66,Poncitlán
49566.286928,2021,25,2,Angostura
31557.760494,2022,7,71,Villa Comaltitlán
15667.8288813,2010,20,427,Santa María Petapa
120520.732804,2021,15,114,Villa Victoria
1407.67914295,2029,21,198,Xicotlán
7167.3135466,2013,12,70,Xochihuehuetlán
113380.614599,2017,11,2,Acámbaro
7016.83522,2018,21,184,Tlapacoya
263615.538932,2018,28,3,Altamira
17160.1514293,2028,21,36,Coyomeapan
329687.968114,2016,30,39,Coatzacoalcos
54471.611478,2016,15,111,Villa de Allende
4161.2537256,2029,21,139,San Pablo Anicano
887.15741885,2019,20,296,San Pablo Macuiltianguis
5724.7213325,2012,16,48,Lagunillas
12265.3867169,2026,13,32,Jaltocán
13209.6032377,2023,21,22,Atzitzihuacán
3357.0753566,2010,20,46,Magdalena Jaltepec
37255.13061,2030,24,53,Axtla de Terrazas
41120.422934,2015,4,6,Hopelchén
16082.906747,2030,30,202,Zontecomatlán de López y Fuentes
10748.9264053,2028,21,191,Tulcingo
678993.49828,2021,10,5,Durango
2292.35073193,2019,20,182,San Juan Bautista Tlacoatzintepec
762.95292003,2030,20,101,San Andrés Zabache
4295.0509955,2012,8,16,La Cruz
2851.5054081,2024,20,193,San Juan del Estado
12036.1505764,2010,20,125,San Carlos Yautepec
107047.520475,2023,29,33,Tlaxcala
95561.11042,2023,11,11,Cortazar
100083.063202,2017,11,28,Salvatierra
54376.307552,2028,20,318,San Pedro Mixtepec A
6464.0485133,2020,20,517,Santo Domingo Tepuxtepec
15123.0974361,2015,20,227,San Lorenzo Cacaotepec
3111.6726922,2019,21,5,Acteopan
18470.7763986,2016,20,171,San José Tenango
1886.7173761,2013,20,94,San Andrés Nuxiño
24804.7702176,2020,7,86,Suchiapa
5965.9392371,2029,24,19,Lagunillas
4323.4565245,2022,20,339,San Pedro y San Pablo Teposcolula
1426.54676415,2029,20,127,San Cristóbal Amoltepec
8951.2149953,2019,21,166,Tepeojuma
63874.14448,2028,27,1,Balancán
11149.2118655,2014,8,60,Santa Bárbara
7554.2177948,2018,20,229,San Lorenzo Texmelúcan
12114.8816421,2012,20,298,San Pablo Villa de Mitla
5125.930877,2023,20,269,San Miguel el Grande
73467.445723,2020,15,113,Villa Guerrero
88723.529034,2018,17,4,Ayala
14455.7806819,2022,16,91,Ting¦indín
18017.2693425,2015,30,129,Platón Sánchez
2354.66713539,2011,20,152,San Francisco Tlapancingo
1251.4255969,2015,20,274,San Miguel Piedras
21840.8119224,2029,13,9,El Arenal
247404.31914,2029,32,10,Fresnillo
91846.438611,2018,26,2,Agua Prieta
7789.2545061,2022,19,36,Mier y Noriega
75679.144085,2012,15,82,Tejupilco
340.65894593,2010,20,129,San Cristóbal Suchixtlahuaca
30535.38024,2026,7,76,Sabanilla
179546.163836,2022,15,51,Lerma
13344.9320447,2025,20,312,San Pedro Jicayán
8612.001727,2022,16,39,Huiramba
48302.374315,2011,21,43,Cuetzalan del Progreso
15924.3050131,2017,14,5,Amatitán
166627.282559,2016,26,29,Guaymas
2825.5438114,2010,13,20,Eloxochitlán
7296.5550409,2024,12,70,Xochihuehuetlán
18591.8195904,2024,31,2,Acanceh
10918.5372798,2015,21,91,Juan Galindo
30468.4187029,2019,12,71,Xochistlahuaca
1974.3963808,2026,20,356,Santa Ana del Valle
417.89137374,2021,20,223,San Juan Yatzona
948.66650229,2024,20,458,Santiago Comaltepec
9127.3002753,2017,5,19,Morelos
6738.6983352,2015,30,162,Tenampa
485.29394459,2025,20,93,San Andrés Lagunas
10494.7092772,2024,20,188,San Juan Colorado
13193.27712,2022,13,66,Villa de Tezontepec
8079.1466596,2019,21,93,Lafragua
16802.877509,2019,24,23,Rayón
12025.8951248,2012,20,312,San Pedro Jicayán
86728.020734,2021,30,61,Las Choapas
24707.6567431,2015,16,8,Aquila
30201.47743,2021,11,12,Cuerámaro
20910.0366881,2013,30,22,Atzacan
204374.370654,2027,18,20,Bahía de Banderas
7622.0847133,2023,20,300,San Pedro Amuzgos
3374.2714863,2030,20,152,San Francisco Tlapancingo
6689.5207499,2017,21,77,Hueytlalpan
1215.96865462,2022,20,257,San Melchor Betaza
71254.400561,2021,5,28,Sabinas
20080.417455,2029,30,157,Castillo de Teayo
6102.7927343,2024,20,543,Tataltepec de Valdés
15160.3153008,2015,12,17,Cocula
40097.3938,2019,11,18,Jaral del Progreso
82186.833229,2026,16,82,Tacámbaro
199.95763304,2027,20,479,Santiago Nejapilla
6576.1183389,2011,15,77,San Simón de Guerrero
26351.464265,2013,30,34,Cerro Azul
1879249.74321,2021,15,33,Ecatepec de Morelos
16942.6014686,2019,30,93,Jilotepec
270.76239946,2020,20,521,Santo Domingo Tonaltepec
343.18941239,2017,20,503,Santiago Zoochila
15956.4524591,2029,13,68,Tianguistengo
4356.6110323,2014,20,497,Santiago Yaitepec
1815.5491857,2010,30,18,Aquila
86698.386003,2012,26,17,Caborca
3472.9595676,2025,20,203,San Juan Lachigalla
32433.100367,2025,21,142,San Salvador el Seco
26905.72041,2019,21,69,Huaquechula
18265.1498227,2024,21,214,Zinacatepec
47182.919394,2017,13,41,Mixquiahuala de Juárez
27170.6528913,2016,16,98,Tuxpan
3744.0660825,2023,21,130,San Juan Atenco
4222.1177537,2016,19,51,Villaldama
15000.7578437,2030,7,60,Ocotepec
12123.6596191,2017,8,1,Ahumada
19350.0089419,2027,31,32,Espita
10524.3071769,2025,13,36,San Agustín Metzquititlán
3751.3422836,2023,20,55,Mariscala de Juárez
37594.129361,2019,10,8,Guadalupe Victoria
17134.2449954,2025,17,13,Jonacatepec
7904.2352781,2023,15,77,San Simón de Guerrero
2311.48560458,2023,5,13,Hidalgo
239952.152903,2017,15,54,Metepec
26011.8182376,2022,29,39,Xaloztoc
23512.3485544,2018,7,5,Amatán
1205.62113407,2028,20,194,San Juan del Río
6510.6822143,2019,8,6,Bachíniva
10024.048283,2013,30,114,Nautla
7655.9049122,2014,20,310,San Pedro Ixtlahuaca
13290.6068602,2011,28,29,Ocampo
10926.7104653,2030,1,8,San José de Gracia
1514.74525648,2029,20,477,Santiago Minas
3940.0227666,2026,5,26,Progreso
3090.5877271,2018,20,492,Santiago Tilantongo
9489.3061334,2018,14,7,San Juanito de Escobedo
161536.354554,2016,15,42,Ixtlahuaca
145314.181472,2029,13,28,Huejutla de Reyes
6161.4759255,2023,30,171,Texhuacán
31065.301958,2021,8,40,Madera
70481.631381,2025,16,43,Jacona
6369.809309,2014,14,26,Concepción de Buenos Aires
2302.70926689,2024,20,139,San Francisco Chapulapa
17682.066025,2014,28,19,Llera
31602.433519,2030,30,191,Ursulo Galván
1176784.88911,2027,2,2,Mexicali
6389.5017857,2014,21,66,Guadalupe
12149.5550286,2023,30,54,Chacaltianguis
3816.848772,2022,20,24,Cuyamecalco Villa de Zaragoza
30013.409891,2028,29,23,Natívitas
1297.9295059,2019,20,11,Calihualá
3720.43254,2018,20,273,San Miguel Peras
24277.4918103,2016,13,50,Progreso de Obregón
2368.000157,2024,20,167,San José del Peñasco
13342.9227329,2015,21,61,Eloxochitlán
28095.559646,2016,10,39,Nuevo Ideal
19742.2344489,2013,1,10,El Llano
6624.3301414,2029,12,9,Atlamajalcingo del Monte
144.454202028,2019,20,518,Santo Domingo Tlatayápam
2433.8413947,2011,20,112,San Baltazar Chichicápam
86427.139088,2021,11,9,Comonfort
34719.3582,2025,32,49,Valparaíso
17699.7351623,2012,8,55,Rosales
1219862.94481,2019,15,58,Nezahualcóyotl
4457.7735666,2021,30,179,Tlacotepec de Mejía
14895.5058862,2026,21,61,Eloxochitlán
22872.9143106,2017,6,3,Comala
13170.399007,2015,21,102,Nealtican
32479.80341,2027,21,194,Venustiano Carranza
1194.71159667,2022,20,144,San Francisco Jaltepetongo
36228.825585,2014,32,51,Villa de Cos
51058.129158,2025,21,110,Palmar de Bravo
611.14240411,2018,20,288,San Miguel Yotao
2196.0720706,2019,30,190,Tuxtilla
5092.8295557,2026,30,113,Naranjal
14103.2732955,2025,13,31,Jacala de Ledezma
15639.4975328,2015,21,124,San Gabriel Chilac
104301.757924,2022,23,2,Felipe Carrillo Puerto
7772.4658876,2016,20,208,San Juan Mixtepec A
29578.024316,2011,30,191,Ursulo Galván
84857.605536,2016,25,15,Salvador Alvarado
1037.02648789,2014,20,290,San Nicolás Hidalgo
13214.9655856,2028,14,68,Villa Purificación
817.05410452,2010,20,359,Santa Ana Yareni
172165.449321,2010,15,118,Zinacantepec
3265.80273847,2012,20,211,San Juan Ozolotepec
13243.3712867,2022,30,200,Zentla
18429.2914863,2011,8,7,Balleza
17813.144317,2026,30,111,Moloacán
35364.636469,2029,28,2,Aldama
7765.6035737,2022,29,59,Santa Cruz Quilehtla
